type_name,brand_name,slot,name,power_name,released_version
アタマ,フォーリマ,2,イカスカルマスク,スペシャル減少量ダウン,230
アタマ,ホタックス,3,イカノルディック,カムバック,230
アタマ,ホタックス,2,イカンカン クラシック,スペシャル時間延長,230
アタマ,フォーリマ,2,イヤーマフ,復活時間短縮,230
アタマ,クラーゲス,1,エイズリーバンダナ,インク効率アップ(サブ),230
アタマ,ホッコリー,3,オクタグラス,ラストスパート,230
アタマ,アロメ,3,サッカーバンド,逆境強化,230
アタマ,フォーリマ,2,トレジャーメット,インク回復力アップ,230
アタマ,クラーゲス,1,マルベッコー,スーパージャンプ時間短縮,230
アタマ,フォーリマ,3,モンゴウベレー,スタートダッシュ,230
フク,フォーリマ,2,F-010,うらみ,230
フク,フォーリマ,2,F-190,ヒト移動速度アップ,230
フク,ヤコ,2,FCカラスミ,防御力アップ,230
フク,ヤコ,1,アオサドーレ,攻撃力アップ,230
フク,ホタックス,3,イカジャマイカ,スペシャル減少量ダウン,230
フク,エゾッコ,3,イカスカジャン,復活時間短縮,230
フク,クラーゲス,1,イカスタンシャツ,スーパージャンプ時間短縮,230
フク,フォーリマ,3,イカセーラー ブルー,ボム飛距離アップ,230
フク,フォーリマ,2,イカセーラー ホワイト,インク効率アップ(メイン),230
フク,クラーゲス,1,イカノボリベスト,マーキングガード,230
フク,エゾッコ,2,ウラスカジャン,スペシャル増加量アップ,230
フク,ロッケンベルグ,1,オータムネル,インク効率アップ(メイン),230
フク,ヤコ,1,カモフラパープル,ボム飛距離アップ,230
フク,クラーゲス,1,クラーゲス528,ヒト移動速度アップ,230
フク,ホッコリー,1,ソウショクT,イカニンジャ,230
フク,ホタックス,1,パールドットT,インク効率アップ(サブ),230
フク,バトロイカ,1,バトロングホワイト,インク回復力アップ,230
フク,エゾッコ,1,ピンポンポロ,スタートレーダー,230
フク,シグレニ,3,フォレストダウン,インク回復力アップ,230
フク,ホッコリー,1,マルフグT,イカダッシュ速度アップ,230
フク,シグレニ,1,ヤマビコボーダー,スーパージャンプ時間短縮,230
フク,エゾッコ,1,リールロールスウェット,スペシャル時間延長,230
クツ,アロメ,3,アイスダウンブーツ,ステルスジャンプ,230
クツ,ロッケンベルグ,1,イカヤキチップ,防御力アップ,230
クツ,アロメ,1,ウミウシブルー,スペシャル増加量アップ,230
クツ,ジモン,1,シャークモカシン,ボム飛距離アップ,230
クツ,ジモン,1,ジョーズモカシン,インク回復力アップ,230
クツ,アロメ,3,ミルキーダウンブーツ,スーパージャンプ時間短縮,230
クツ,ヤコ,2,レアスパイカ,安全シューズ,230
クツ,シグレニ,1,レイニーシャボン,攻撃力アップ,230
クツ,ロッケンベルグ,2,ロッキンイエロー,スペシャル減少量ダウン,230
クツ,ロッケンベルグ,3,ロッキンチェリー,ボムサーチ,230
